company_id,company_name,industry,is_insolvent
COMP_0001,Integrated Instruments Ltd,Construction,0
COMP_0002,Strategic Management International,Technology,0
COMP_0003,Premier Digital LLC,Transportation,0
COMP_0004,Integrated Instruments International,Telecommunications,0
COMP_0005,Zenith Services LLC,Transportation,0
COMP_0006,Titan Dynamics Corp,Financial Services,0
COMP_0007,Dynamic Analytics Group,Utilities,0
COMP_0008,Alpha Services LLC,Real Estate,0
COMP_0009,Zenith Devices Group,Energy,0
COMP_0010,Vanguard Instruments Group,Retail,0
COMP_0011,Prime Energy Co,Consumer Goods,0
COMP_0012,American Partners Group,Real Estate,0
COMP_0013,Vertex Consulting Ltd,Manufacturing,0
COMP_0014,Zenith Resources Ltd,Real Estate,0
COMP_0015,Omega Power Co,Real Estate,0
COMP_0016,Innovative Development Ltd,Transportation,0
COMP_0017,United Holdings Co,Real Estate,0
COMP_0018,Apex Management Ltd,Mining,0
COMP_0019,Horizon Enterprises International,Retail,0
COMP_0020,Integrated Enterprises Holdings,Consumer Goods,0
COMP_0021,Integrated Group Group,Transportation,0
COMP_0022,Omega Networks Co,Consumer Goods,0
COMP_0023,Prime Ventures Inc,Transportation,0
COMP_0024,Sterling Med International,Hospitality,0
COMP_0025,Alpha Management Co,Utilities,0
COMP_0026,Sterling Devices Ltd,Real Estate,0
COMP_0027,National Associates Corp,Utilities,0
COMP_0028,Zenith Industries International,Energy,0
COMP_0029,Titan Med Group,Agriculture,0
COMP_0030,Atlantic Med Inc,Construction,0
COMP_0031,United Capital International,Hospitality,0
COMP_0032,Vanguard Materials LLC,Healthcare,0
COMP_0033,National Tech Inc,Real Estate,0
COMP_0034,Nexus Enterprises Holdings,Manufacturing,0
COMP_0035,Horizon Logistics LLC,Hospitality,0
COMP_0036,Omega Enterprises Group,Utilities,0
COMP_0037,Paramount Group Ltd,Telecommunications,0
COMP_0038,Omega Consulting Co,Transportation,0
COMP_0039,Elite Industries Ltd,Agriculture,0
COMP_0040,Summit Consulting Inc,Transportation,0
COMP_0041,Strategic Bio Co,Healthcare,0
COMP_0042,Summit Consulting International,Retail,0
COMP_0043,Sterling Corp LLC,Mining,0
COMP_0044,Strategic Dynamics Holdings,Agriculture,0
COMP_0045,Paramount Systems International,Retail,0
COMP_0046,Nova Management Co,Energy,0
COMP_0047,Strategic Networks Ltd,Transportation,0
COMP_0048,Omega Enterprises Ltd,Energy,0
COMP_0049,Strategic Associates International,Transportation,0
COMP_0050,Premier Industries LLC,Construction,0
COMP_0051,Vertex Bio Group,Technology,0
COMP_0052,Nexus Tech International,Energy,0
COMP_0053,Atlantic Associates LLC,Healthcare,0
COMP_0054,Pinnacle Associates Ltd,Financial Services,0
COMP_0055,Paramount Development Ltd,Manufacturing,0
COMP_0056,Titan Power Holdings,Manufacturing,0
COMP_0057,Dynamic Bio International,Hospitality,0
COMP_0058,Nova Services Corp,Utilities,0
COMP_0059,Innovative Instruments Ltd,Telecommunications,0
COMP_0060,Quantum Holdings Holdings,Utilities,0
COMP_0061,Nexus Partners Co,Retail,0
COMP_0062,Vertex Solutions Co,Transportation,0
COMP_0063,Advanced Enterprises Holdings,Hospitality,0
COMP_0064,Quantum Services LLC,Hospitality,0
COMP_0065,Advanced Services LLC,Manufacturing,0
COMP_0066,Strategic Devices LLC,Telecommunications,0
COMP_0067,Quantum Digital Ltd,Hospitality,0
COMP_0068,Precision Management Ltd,Manufacturing,0
COMP_0069,Prime Energy Corp,Energy,0
COMP_0070,Horizon Enterprises Ltd,Retail,0
COMP_0071,Horizon Digital Inc,Energy,0
COMP_0072,Innovative Corp Group,Real Estate,0
COMP_0073,Precision Development Co,Mining,0
COMP_0074,Strategic Instruments International,Hospitality,0
COMP_0075,American Instruments LLC,Telecommunications,0
COMP_0076,Apex Instruments Ltd,Healthcare,0
COMP_0077,Prime Materials LLC,Agriculture,0
COMP_0078,Prime Capital Co,Retail,0
COMP_0079,Vanguard Ventures Corp,Technology,0
COMP_0080,Quantum Resources Corp,Utilities,0
COMP_0081,Precision Management Corp,Construction,0
COMP_0082,Precision Devices International,Telecommunications,0
COMP_0083,Omega Resources Holdings,Telecommunications,0
COMP_0084,Vertex Digital International,Construction,0
COMP_0085,Zenith Associates Group,Construction,0
COMP_0086,Atlantic International Corp,Construction,0
COMP_0087,Integrated Logistics Corp,Energy,0
COMP_0088,Strategic Development LLC,Technology,0
COMP_0089,Summit Management International,Real Estate,0
COMP_0090,Atlantic Ventures Ltd,Real Estate,0
COMP_0091,Atlantic Ventures Corp,Healthcare,0
COMP_0092,Advanced Associates Ltd,Telecommunications,0
COMP_0093,Prime Development Group,Utilities,0
COMP_0094,Prime Networks Ltd,Consumer Goods,0
COMP_0095,Atlantic Corp Inc,Technology,0
COMP_0096,Strategic Development Group,Mining,0
COMP_0097,Pinnacle Components Group,Utilities,0
COMP_0098,Advanced Logistics LLC,Technology,0
COMP_0099,Vanguard Med Co,Retail,0
COMP_0100,Global Partners Group,Hospitality,0
COMP_0101,Nexus Industries Corp,Healthcare,0
COMP_0102,Precision Industries LLC,Technology,0
